ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000651.SZ,20151231,22.85,22.95,22.33,22.35,22.85,-0.5,-2.19,466846.46,1051608.3415
000651.SZ,20151230,23.09,23.3,22.72,22.85,23.1,-0.25,-1.08,641137.67,1471577.0509
000651.SZ,20151229,22.32,23.5,22.1,23.1,22.35,0.75,3.36,883114.75,2012576.2352
000651.SZ,20151228,23.14,23.45,22.35,22.35,23.0,-0.65,-2.83,904681.76,2061071.3225
000651.SZ,20151225,23.25,23.3,22.8,23.0,23.21,-0.21,-0.9,655586.02,1509414.7995
000651.SZ,20151224,23.99,24.08,22.89,23.21,23.93,-0.72,-3.01,1091953.5,2534156.3002
000651.SZ,20151223,23.33,24.44,23.32,23.93,23.22,0.71,3.06,1607144.61,3828363.5591
000651.SZ,20151222,23.01,24.5,22.99,23.22,22.99,0.23,1.0,2285964.3,5386498.8069
000651.SZ,20151221,21.06,22.99,21.0,22.99,20.9,2.09,10.0,2905606.31,6568003.9357
000651.SZ,20151218,21.13,21.27,20.81,20.9,21.13,-0.23,-1.09,654597.03,1374236.8263
000651.SZ,20151217,20.97,21.26,20.85,21.13,20.8,0.33,1.59,893617.72,1883345.3847
000651.SZ,20151216,21.24,21.44,20.71,20.8,21.24,-0.44,-2.07,706852.02,1482859.414
000651.SZ,20151215,21.56,21.75,21.08,21.24,21.6,-0.36,-1.67,701467.4,1496834.3454
000651.SZ,20151214,21.13,22.07,21.06,21.6,21.34,0.26,1.22,892324.03,1934296.586
000651.SZ,20151211,20.78,21.48,20.64,21.34,20.93,0.41,1.96,906621.28,1915535.109
000651.SZ,20151210,20.8,21.43,20.41,20.93,20.8,0.13,0.63,1236460.69,2600682.7956
000651.SZ,20151209,20.0,21.15,19.99,20.8,20.05,0.75,3.74,1119308.53,2319651.6013
000651.SZ,20151208,20.7,20.7,20.04,20.05,20.81,-0.76,-3.65,732622.28,1486908.8728
000651.SZ,20151207,20.78,21.34,20.4,20.81,20.83,-0.02,-0.1,1184055.43,2476259.2551
000651.SZ,20151204,20.37,21.2,20.01,20.83,20.38,0.45,2.21,1767671.69,3638810.5601
000651.SZ,20151203,20.54,20.8,20.15,20.38,21.0,-0.62,-2.95,1857264.66,3792020.0731
000651.SZ,20151202,19.09,21.0,18.99,21.0,19.09,1.91,10.01,3434655.85,7059537.6403
000651.SZ,20151201,18.3,19.55,18.05,19.09,18.33,0.76,4.15,1044932.97,1963007.8469
000651.SZ,20151130,18.65,18.78,17.8,18.33,18.55,-0.22,-1.19,599421.69,1098829.9743
000651.SZ,20151127,19.1,19.31,18.37,18.55,19.33,-0.78,-4.04,837262.54,1577477.6436
000651.SZ,20151126,18.69,19.75,18.64,19.33,18.55,0.78,4.2,1252679.4,2401054.037
000651.SZ,20151125,18.5,18.64,18.4,18.55,18.54,0.01,0.05,408457.37,755790.9374
000651.SZ,20151124,18.43,18.55,18.39,18.54,18.42,0.12,0.65,364110.26,671631.8001
000651.SZ,20151123,18.6,18.63,18.37,18.42,18.59,-0.17,-0.91,522751.76,965592.3829
000651.SZ,20151120,18.77,18.79,18.53,18.59,18.75,-0.16,-0.85,557160.71,1037095.6566
000651.SZ,20151119,18.63,18.76,18.42,18.75,18.54,0.21,1.13,407915.76,758147.6764
000651.SZ,20151118,18.79,18.91,18.51,18.54,18.7,-0.16,-0.86,656026.94,1223214.646
000651.SZ,20151117,18.81,19.11,18.63,18.7,18.7,0.0,0.0,602597.24,1136912.0286
000651.SZ,20151116,18.3,18.78,18.28,18.7,18.59,0.11,0.59,458899.76,850932.7066
000651.SZ,20151113,18.9,18.97,18.56,18.59,19.07,-0.48,-2.52,622779.47,1166217.926
000651.SZ,20151112,19.31,19.38,18.98,19.07,19.23,-0.16,-0.83,462357.24,883910.1912
000651.SZ,20151111,19.4,19.45,19.07,19.23,19.52,-0.29,-1.49,631492.46,1214808.3515
000651.SZ,20151110,19.43,19.85,19.07,19.52,19.56,-0.04,-0.2,844888.81,1638603.6015
000651.SZ,20151109,19.48,19.98,19.48,19.56,19.38,0.18,0.93,1188898.13,2350167.3975
000651.SZ,20151106,19.08,19.62,18.99,19.38,19.02,0.36,1.89,1126189.66,2181365.7589
000651.SZ,20151105,18.31,19.55,18.15,19.02,18.31,0.71,3.88,1640853.09,3116516.9375
000651.SZ,20151104,17.47,18.35,17.47,18.31,17.47,0.84,4.81,1284433.58,2313398.0464
000651.SZ,20151103,17.62,17.78,17.35,17.47,17.64,-0.17,-0.96,496634.79,868060.4962
000651.SZ,20151102,17.47,18.08,17.47,17.64,17.35,0.29,1.67,1004845.61,1793403.0133
000651.SZ,20151030,17.44,17.54,17.28,17.35,17.5,-0.15,-0.86,450152.17,784339.4171
000651.SZ,20151029,17.35,17.6,17.21,17.5,17.3,0.2,1.16,445891.62,776847.6908
000651.SZ,20151028,17.48,17.62,17.25,17.3,17.58,-0.28,-1.59,674729.38,1175390.3607
000651.SZ,20151027,17.8,17.8,17.05,17.58,17.95,-0.37,-2.06,875434.15,1526255.3205
000651.SZ,20151026,18.48,18.49,17.91,17.95,18.2,-0.25,-1.37,838895.26,1524008.1926
000651.SZ,20151023,17.73,18.38,17.64,18.2,17.6,0.6,3.41,1042963.31,1889880.9634
000651.SZ,20151022,17.34,17.62,17.27,17.6,17.5,0.1,0.57,749595.8,1310861.2607
000651.SZ,20151021,17.56,17.68,17.06,17.5,17.56,-0.06,-0.34,1001682.98,1741084.934
000651.SZ,20151020,17.44,17.56,17.11,17.56,17.45,0.11,0.63,615432.76,1070958.8168
000651.SZ,20151019,17.62,17.78,17.3,17.45,17.53,-0.08,-0.46,733557.35,1287335.2183
000651.SZ,20151016,17.46,17.72,17.31,17.53,17.45,0.08,0.46,715580.46,1254091.6005
000651.SZ,20151015,17.09,17.48,16.96,17.45,17.09,0.36,2.11,631749.76,1092113.2248
000651.SZ,20151014,17.35,17.42,17.08,17.09,17.38,-0.29,-1.67,593650.6,1021942.5429
000651.SZ,20151013,17.37,17.49,17.22,17.38,17.5,-0.12,-0.69,666400.3,1156139.2043
000651.SZ,20151012,16.89,17.65,16.77,17.5,16.86,0.64,3.8,1246593.55,2155571.1655
000651.SZ,20151009,16.79,17.0,16.71,16.86,16.83,0.03,0.18,443542.07,748782.9782
000651.SZ,20151008,17.0,17.5,16.81,16.83,16.18,0.65,4.02,930510.48,1583990.4304
000651.SZ,20150930,15.86,16.29,15.81,16.18,15.75,0.43,2.73,506262.61,815320.265
000651.SZ,20150929,15.94,15.97,15.72,15.75,16.12,-0.37,-2.3,410071.97,649890.8194
000651.SZ,20150928,16.08,16.16,15.9,16.12,16.09,0.03,0.19,383383.41,614539.1658
000651.SZ,20150925,16.38,16.55,15.92,16.09,16.46,-0.37,-2.25,583382.46,942455.3924
000651.SZ,20150924,16.55,16.67,16.35,16.46,16.45,0.01,0.06,496201.14,818740.3545
000651.SZ,20150923,16.65,16.77,16.43,16.45,16.81,-0.36,-2.14,581667.12,964359.354
000651.SZ,20150922,16.69,17.15,16.56,16.81,16.59,0.22,1.33,580216.76,978199.7722
000651.SZ,20150921,16.17,16.8,16.17,16.59,16.49,0.1,0.61,533680.06,880153.6265
000651.SZ,20150918,16.55,16.66,16.35,16.49,16.41,0.08,0.49,506207.34,834576.0567
000651.SZ,20150917,16.97,16.97,16.41,16.41,16.92,-0.51,-3.01,739100.47,1236785.1512
000651.SZ,20150916,16.19,17.33,15.96,16.92,16.05,0.87,5.42,791085.04,1308797.3188
000651.SZ,20150915,16.49,16.59,15.85,16.05,16.5,-0.45,-2.73,781544.9,1267795.6096
000651.SZ,20150914,17.47,17.54,16.35,16.5,17.31,-0.81,-4.68,717718.24,1212693.0758
000651.SZ,20150911,17.45,17.64,17.18,17.31,17.45,-0.14,-0.8,429117.16,744746.7458
000651.SZ,20150910,17.6,17.8,17.4,17.45,17.85,-0.4,-2.24,573597.62,1008975.3822
000651.SZ,20150909,17.61,18.08,17.47,17.85,17.6,0.25,1.42,1098815.94,1957842.579
000651.SZ,20150908,17.2,17.67,17.02,17.6,17.32,0.28,1.62,573528.81,994687.9962
000651.SZ,20150907,17.88,18.36,17.2,17.32,17.85,-0.53,-2.97,980552.48,1740423.3848
000651.SZ,20150902,17.55,18.2,17.25,17.85,18.19,-0.34,-1.87,1610982.39,2876193.7475
000651.SZ,20150901,17.9,18.25,17.1,18.19,18.45,-0.26,-1.41,1530078.99,2730311.5508
000651.SZ,20150831,18.1,18.47,17.55,18.45,19.5,-1.05,-5.38,2006762.56,3628763.7924
000651.SZ,20150828,19.02,19.98,18.71,19.5,18.87,0.63,3.34,1387208.32,2663233.3884
000651.SZ,20150827,18.97,19.15,17.84,18.87,18.45,0.42,2.28,1545402.7,2868067.458
000651.SZ,20150826,17.8,18.96,17.5,18.45,17.41,1.04,5.97,1795758.48,3287403.3141
000651.SZ,20150825,16.5,18.5,16.06,17.41,17.15,0.26,1.52,2101824.21,3645534.352
000651.SZ,20150824,18.43,18.45,17.15,17.15,19.05,-1.9,-9.97,1988725.61,3464087.2358
000651.SZ,20150821,19.98,20.18,19.0,19.05,20.13,-1.08,-5.37,1173428.0,2288937.2462
000651.SZ,20150820,20.84,20.87,20.04,20.13,21.01,-0.88,-4.19,908709.95,1857955.6224
000651.SZ,20150819,20.7,21.23,20.09,21.01,20.98,0.03,0.14,917197.51,1902000.4331
000651.SZ,20150818,22.25,22.48,20.43,20.98,22.25,-1.27,-5.71,1029663.04,2239237.4012
000651.SZ,20150817,22.5,22.5,21.95,22.25,22.54,-0.29,-1.29,903269.07,1999870.0132
000651.SZ,20150814,22.87,23.2,22.5,22.54,22.95,-0.41,-1.79,1047845.54,2379660.7217
000651.SZ,20150813,22.57,23.17,22.5,22.95,22.69,0.26,1.15,703215.67,1607545.2415
000651.SZ,20150812,23.18,23.35,22.61,22.69,23.25,-0.56,-2.41,717453.01,1649257.1979
000651.SZ,20150811,23.25,23.9,23.02,23.25,23.24,0.01,0.04,977862.84,2290866.0708
000651.SZ,20150810,22.98,23.44,22.5,23.24,22.51,0.73,3.24,1000596.73,2303419.1862
000651.SZ,20150807,22.45,22.66,22.21,22.51,22.17,0.34,1.53,481553.97,1081641.0549
000651.SZ,20150806,22.4,22.59,22.05,22.17,22.7,-0.53,-2.33,430168.72,959545.8241
000651.SZ,20150805,23.19,23.31,22.66,22.7,23.39,-0.69,-2.95,583790.5,1340259.545
000651.SZ,20150804,23.03,23.51,22.6,23.39,23.09,0.3,1.3,993073.65,2295495.1476
000651.SZ,20150803,22.0,23.1,21.87,23.09,22.31,0.78,3.5,1126189.45,2535595.4628
000651.SZ,20150731,21.7,22.38,21.55,22.31,21.92,0.39,1.78,733088.59,1617251.0179
000651.SZ,20150730,22.35,22.55,21.81,21.92,22.59,-0.67,-2.97,792569.29,1765414.4597
000651.SZ,20150729,22.28,22.65,21.7,22.59,22.26,0.33,1.48,1005729.64,2223162.0042
000651.SZ,20150728,20.63,22.45,20.2,22.26,21.06,1.2,5.7,1964251.07,4245813.6833
000651.SZ,20150727,22.9,22.93,21.05,21.06,23.39,-2.33,-9.96,1714456.62,3795987.0468
000651.SZ,20150724,24.15,24.21,23.28,23.39,24.06,-0.67,-2.78,1293606.28,3081155.2932
000651.SZ,20150723,23.68,24.43,23.68,24.06,23.69,0.37,1.56,1133519.19,2722079.8785
000651.SZ,20150722,24.1,24.26,23.41,23.69,24.21,-0.52,-2.15,1150748.73,2743431.9785
000651.SZ,20150721,24.03,24.57,23.85,24.21,24.53,-0.32,-1.3,977831.92,2370585.7151
000651.SZ,20150720,24.82,25.09,24.19,24.53,24.88,-0.35,-1.41,1372850.14,3372962.0567
000651.SZ,20150717,24.17,25.21,24.01,24.88,23.94,0.94,3.93,1393204.58,3429459.1482
000651.SZ,20150716,23.42,24.56,23.42,23.94,23.41,0.53,2.26,1274559.03,3055049.4991
000651.SZ,20150715,24.63,25.5,23.15,23.41,24.88,-1.47,-5.91,1755364.68,4228020.018
000651.SZ,20150714,26.02,26.67,24.65,24.88,26.14,-1.26,-4.82,2545717.38,6516195.3249
000651.SZ,20150713,25.0,26.14,24.4,26.14,23.76,2.38,10.02,2630342.61,6723211.8191
000651.SZ,20150710,22.98,23.76,22.31,23.76,21.6,2.16,10.0,1275897.09,2998990.9816
000651.SZ,20150709,19.64,21.6,19.64,21.6,19.64,1.96,9.98,1948756.82,4084768.2286
000651.SZ,20150708,19.65,20.64,19.64,19.64,21.82,-2.18,-9.99,3963477.97,7882150.9241
000651.SZ,20150707,23.3,24.0,21.78,21.82,24.2,-2.38,-9.83,2898844.86,6483367.6093
000651.SZ,20150706,27.0,27.0,22.65,24.2,24.98,-0.78,-3.12,3102838.92,7565387.0219
