FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2020-12-31,1.0949,1.0949,,,1,1.30,开放申购,开放赎回,,,,
2020-12-30,1.0808,1.0808,,,1,1.24,开放申购,开放赎回,,,,
2020-12-29,1.0676,1.0676,,,1,0.37,开放申购,开放赎回,,,,
2020-12-28,1.0637,1.0637,,,1,-1.32,开放申购,开放赎回,,,,
2020-12-25,1.0779,1.0779,,,1,-0.73,开放申购,开放赎回,,,,
2020-12-24,1.0858,1.0858,,,1,-0.30,开放申购,开放赎回,,,,
2020-12-23,1.0891,1.0891,,,1,3.06,开放申购,开放赎回,,,,
2020-12-22,1.0568,1.0568,,,1,-3.44,开放申购,开放赎回,,,,
2020-12-21,1.0945,1.0945,,,1,2.32,开放申购,开放赎回,,,,
2020-12-18,1.0697,1.0697,,,1,-0.68,开放申购,开放赎回,,,,
2020-12-17,1.0770,1.0770,,,1,0.51,开放申购,开放赎回,,,,
2020-12-16,1.0715,1.0715,,,1,-1.27,开放申购,开放赎回,,,,
2020-12-15,1.0853,1.0853,,,1,-0.98,开放申购,开放赎回,,,,
2020-12-14,1.0960,1.0960,,,1,1.44,开放申购,开放赎回,,,,
2020-12-11,1.0804,1.0804,,,1,-1.27,开放申购,开放赎回,,,,
2020-12-10,1.0943,1.0943,,,1,1.17,开放申购,开放赎回,,,,
2020-12-09,1.0816,1.0816,,,1,-2.87,开放申购,开放赎回,,,,
2020-12-08,1.1136,1.1136,,,1,-0.61,开放申购,开放赎回,,,,
2020-12-07,1.1204,1.1204,,,1,0.21,开放申购,开放赎回,,,,
2020-12-04,1.1181,1.1181,,,1,0.58,开放申购,开放赎回,,,,
2020-12-03,1.1117,1.1117,,,1,-1.03,开放申购,开放赎回,,,,
2020-12-02,1.1233,1.1233,,,1,1.95,开放申购,开放赎回,,,,
2020-12-01,1.1018,1.1018,,,1,1.55,开放申购,开放赎回,,,,
2020-11-30,1.0850,1.0850,,,1,0.69,开放申购,开放赎回,,,,
2020-11-27,1.0776,1.0776,,,1,0.31,开放申购,开放赎回,,,,
2020-11-26,1.0743,1.0743,,,1,-1.13,开放申购,开放赎回,,,,
2020-11-25,1.0866,1.0866,,,1,-0.50,开放申购,开放赎回,,,,
2020-11-24,1.0921,1.0921,,,1,0.77,开放申购,开放赎回,,,,
2020-11-23,1.0838,1.0838,,,1,0.32,开放申购,开放赎回,,,,
2020-11-20,1.0803,1.0803,,,1,-0.05,开放申购,开放赎回,,,,
2020-11-19,1.0808,1.0808,,,1,0.17,开放申购,开放赎回,,,,
2020-11-18,1.0790,1.0790,,,1,-0.40,开放申购,开放赎回,,,,
2020-11-17,1.0833,1.0833,,,1,0.96,开放申购,开放赎回,,,,
2020-11-16,1.0730,1.0730,,,1,-1.10,开放申购,开放赎回,,,,
2020-11-13,1.0849,1.0849,,,1,0.75,开放申购,开放赎回,,,,
2020-11-12,1.0768,1.0768,,,1,0.13,开放申购,开放赎回,,,,
2020-11-11,1.0754,1.0754,,,1,-4.89,开放申购,开放赎回,,,,
2020-11-10,1.1307,1.1307,,,1,-2.67,开放申购,开放赎回,,,,
2020-11-09,1.1617,1.1617,,,1,7.50,开放申购,开放赎回,,,,
2020-11-06,1.0807,1.0807,,,1,1.53,开放申购,开放赎回,,,,
2020-11-05,1.0644,1.0644,,,1,1.32,开放申购,开放赎回,,,,
2020-11-04,1.0505,1.0505,,,1,-0.67,开放申购,开放赎回,,,,
2020-11-03,1.0576,1.0576,,,1,1.33,开放申购,开放赎回,,,,
2020-11-02,1.0437,1.0437,,,1,1.83,开放申购,开放赎回,,,,
2020-10-30,1.0249,1.0249,,,1,2.23,开放申购,开放赎回,,,,
2020-10-29,1.0025,1.0025,,,1,-0.33,开放申购,开放赎回,,,,
2020-10-28,1.0058,1.0058,,,1,0.11,开放申购,开放赎回,,,,
2020-10-27,1.0047,1.0047,,,1,0.48,开放申购,开放赎回,,,,
2020-10-26,0.9999,0.9999,,,1,0.00,开放申购,开放赎回,,,,
2020-10-23,0.9999,0.9999,,,1,-1.97,开放申购,开放赎回,,,,
2020-10-22,1.0200,1.0200,,,1,-0.18,开放申购,开放赎回,,,,
2020-10-21,1.0218,1.0218,,,1,-2.82,开放申购,开放赎回,,,,
2020-10-20,1.0514,1.0514,,,1,0.65,开放申购,开放赎回,,,,
2020-10-19,1.0446,1.0446,,,1,-1.08,开放申购,开放赎回,,,,
2020-10-16,1.0560,1.0560,,,1,-1.19,开放申购,开放赎回,,,,
2020-10-15,1.0687,1.0687,,,1,-0.69,开放申购,开放赎回,,,,
2020-10-14,1.0761,1.0761,,,1,-2.15,开放申购,开放赎回,,,,
2020-10-13,1.0998,1.0998,,,1,-0.32,开放申购,开放赎回,,,,
2020-10-12,1.1033,1.1033,,,1,4.21,开放申购,开放赎回,,,,
2020-10-09,1.0587,1.0587,,,1,3.10,开放申购,开放赎回,,,,
2020-09-30,1.0269,1.0269,,,1,-0.35,开放申购,开放赎回,,,,
2020-09-29,1.0305,1.0305,,,1,1.25,开放申购,开放赎回,,,,
2020-09-28,1.0178,1.0178,,,1,-0.76,开放申购,开放赎回,,,,
2020-09-25,1.0256,1.0256,,,1,-0.98,开放申购,开放赎回,,,,
2020-09-24,1.0357,1.0357,,,1,-2.24,开放申购,开放赎回,,,,
2020-09-23,1.0594,1.0594,,,1,1.19,开放申购,开放赎回,,,,
2020-09-22,1.0469,1.0469,,,1,-2.12,开放申购,开放赎回,,,,
2020-09-21,1.0696,1.0696,,,1,-0.11,开放申购,开放赎回,,,,
2020-09-18,1.0708,1.0708,,,1,0.76,开放申购,开放赎回,,,,
2020-09-17,1.0627,1.0627,,,1,1.51,开放申购,开放赎回,,,,
2020-09-16,1.0469,1.0469,,,1,-0.47,开放申购,开放赎回,,,,
2020-09-15,1.0518,1.0518,,,1,0.52,开放申购,开放赎回,,,,
2020-09-14,1.0464,1.0464,,,1,1.20,开放申购,开放赎回,,,,
2020-09-11,1.0340,1.0340,,,1,3.20,开放申购,开放赎回,,,,
2020-09-10,1.0019,1.0019,,,1,-0.71,开放申购,开放赎回,,,,
2020-09-09,1.0091,1.0091,,,1,-4.91,开放申购,开放赎回,,,,
2020-09-08,1.0612,1.0612,,,1,-1.82,开放申购,开放赎回,,,,
2020-09-07,1.0809,1.0809,,,1,-2.95,开放申购,开放赎回,,,,
2020-09-04,1.1137,1.1137,,,1,1.88,开放申购,开放赎回,,,,
2020-09-03,1.0931,1.0931,,,1,0.00,开放申购,开放赎回,,,,
2020-09-02,1.0931,1.0931,,,1,-1.58,开放申购,开放赎回,,,,
2020-09-01,1.1106,1.1106,,,1,-0.05,开放申购,开放赎回,,,,
2020-08-31,1.1112,1.1112,,,1,-0.87,开放申购,开放赎回,,,,
2020-08-28,1.1209,1.1209,,,1,0.70,开放申购,开放赎回,,,,
2020-08-27,1.1131,1.1131,,,1,2.23,开放申购,开放赎回,,,,
2020-08-26,1.0888,1.0888,,,1,-3.43,开放申购,开放赎回,,,,
2020-08-25,1.1275,1.1275,,,1,-1.05,开放申购,开放赎回,,,,
2020-08-24,1.1395,1.1395,,,1,0.69,开放申购,开放赎回,,,,
2020-08-21,1.1317,1.1317,,,1,-0.62,开放申购,开放赎回,,,,
2020-08-20,1.1388,1.1388,,,1,-0.98,开放申购,开放赎回,,,,
2020-08-19,1.1501,1.1501,,,1,-3.56,开放申购,开放赎回,,,,
2020-08-18,1.1926,1.1926,,,1,-0.46,开放申购,开放赎回,,,,
2020-08-17,1.1981,1.1981,,,1,1.85,开放申购,开放赎回,,,,
