FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
2015-12-31,1.3820,3.6830,-1.22,开放申购,开放赎回,,,1,,,,
2015-12-30,1.3990,3.7000,0.87,开放申购,开放赎回,,,1,,,,
2015-12-29,1.3870,3.6880,0.43,开放申购,开放赎回,,,1,,,,
2015-12-28,1.3810,3.6820,-1.22,开放申购,开放赎回,,,1,,,,
2015-12-25,1.3980,3.6990,1.01,开放申购,开放赎回,,,1,,,,
2015-12-24,1.3840,3.6850,0.00,开放申购,开放赎回,,,1,,,,
2015-12-23,1.3840,3.6850,-1.28,开放申购,开放赎回,,,1,,,,
2015-12-22,1.4020,3.7030,0.72,开放申购,开放赎回,,,1,,,,
2015-12-21,1.3920,3.6930,0.36,开放申购,开放赎回,,,1,,,,
2015-12-18,1.3870,3.6880,-0.50,开放申购,开放赎回,,,1,,,,
2015-12-17,1.3940,3.6950,1.68,开放申购,开放赎回,,,1,,,,
2015-12-16,1.3710,3.6720,1.18,开放申购,开放赎回,,,1,,,,
2015-12-15,1.3550,3.6560,1.04,开放申购,开放赎回,,,1,,,,
2015-12-14,1.3410,3.6420,0.60,开放申购,开放赎回,,,1,,,,
2015-12-11,1.3330,3.6340,-0.52,开放申购,开放赎回,,,1,,,,
2015-12-10,1.3400,3.6410,-0.30,开放申购,开放赎回,,,1,,,,
2015-12-09,1.3440,3.6450,0.00,开放申购,开放赎回,,,1,,,,
2015-12-08,1.3440,3.6450,-1.32,开放申购,开放赎回,,,1,,,,
2015-12-07,1.3620,3.6630,0.74,开放申购,开放赎回,,,1,,,,
2015-12-04,1.3520,3.6530,-0.15,开放申购,开放赎回,,,1,,,,
2015-12-03,1.3540,3.6550,1.96,开放申购,开放赎回,,,1,,,,
2015-12-02,1.3280,3.6290,-0.97,开放申购,开放赎回,,,1,,,,
2015-12-01,1.3410,3.6420,-0.74,开放申购,开放赎回,,,1,,,,
